,REF_AREA,Measure,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,REF_CODE
4394,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,1987,0.69,ISL
4395,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,1988,-0.86,ISL
4396,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,1989,-0.75,ISL
4397,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,1990,-0.34,ISL
4398,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,1991,0.54,ISL
4399,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,1992,-0.38,ISL
4400,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,1993,-0.38,ISL
4401,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,1994,-0.49,ISL
4402,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,1995,-0.87,ISL
4403,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,1996,0.37,ISL
4404,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,1997,0.3,ISL
4405,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,1998,-0.39,ISL
4406,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,1999,-0.19,ISL
4407,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,2000,0.13,ISL
4408,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,2001,0.37,ISL
4409,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,2002,0.73,ISL
4410,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,2003,1.4,ISL
4411,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,2004,1.15,ISL
4412,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,2005,0.34,ISL
4413,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,2006,0.92,ISL
4414,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,2007,0.71,ISL
4415,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,2008,0.46,ISL
4416,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,2009,0.77,ISL
4417,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,2010,0.89,ISL
4418,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,2011,0.54,ISL
4419,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,2012,0.81,ISL
4420,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,2013,0.43,ISL
4421,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,2014,1.62,ISL
4422,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,2015,0.11,ISL
4423,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,2016,1.51,ISL
4424,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,2017,1.34,ISL
4425,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,2018,0.82,ISL
4426,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,2019,0.75,ISL
4427,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,2020,0.26,ISL
4428,Iceland,TEMP_C: Annual temperature change,C: Degrees celsius,2021,0.57,ISL
5289,Sweden,TEMP_C: Annual temperature change,C: Degrees celsius,1979,-1.29,SWE
5290,Sweden,TEMP_C: Annual temperature change,C: Degrees celsius,1980,-1.25,SWE
5291,Sweden,TEMP_C: Annual temperature change,C: Degrees celsius,1981,-1.47,SWE
5292,Sweden,TEMP_C: Annual temperature change,C: Degrees celsius,1982,-0.12,SWE
5293,Sweden,TEMP_C: Annual temperature change,C: Degrees celsius,1983,0.07,SWE
5294,Sweden,TEMP_C: Annual temperature change,C: Degrees celsius,1984,0.15,SWE
5295,Sweden,TEMP_C: Annual temperature change,C: Degrees celsius,1985,-2.43,SWE
